"SE","casos","APS"
201149,15,"AP2.2"
201149,54,"AP3.1"
201149,36,"AP3.2"
201149,61,"AP3.3"
201149,48,"AP4"
201149,92,"AP5.1"
201149,86,"AP5.2"
201149,25,"AP5.3"
201150,25,"AP1"
201150,82,"AP2.1"
201150,22,"AP2.2"
201150,64,"AP3.1"
201150,44,"AP3.2"
201150,83,"AP3.3"
201150,55,"AP4"
201150,137,"AP5.1"
201150,54,"AP5.2"
201150,15,"AP5.3"
201151,19,"AP1"
201151,69,"AP2.1"
201151,22,"AP2.2"
201151,60,"AP3.1"
201151,24,"AP3.2"
201151,76,"AP3.3"
201151,37,"AP4"
201151,154,"AP5.1"
201151,35,"AP5.2"
201151,16,"AP5.3"
201152,26,"AP1"
201152,80,"AP2.1"
201152,25,"AP2.2"
201152,49,"AP3.1"
201152,24,"AP3.2"
201152,122,"AP3.3"
201152,33,"AP4"
201152,123,"AP5.1"
201152,40,"AP5.2"
201152,13,"AP5.3"
201201,36,"AP1"
201201,92,"AP2.1"
201201,43,"AP2.2"
201201,80,"AP3.1"
201201,61,"AP3.2"
201201,172,"AP3.3"
201201,76,"AP4"
201201,182,"AP5.1"
201201,75,"AP5.2"
201201,44,"AP5.3"
201202,36,"AP1"
201202,114,"AP2.1"
201202,36,"AP2.2"
201202,80,"AP3.1"
201202,52,"AP3.2"
201202,227,"AP3.3"
201202,100,"AP4"
201202,193,"AP5.1"
201202,98,"AP5.2"
201202,42,"AP5.3"
201203,45,"AP1"
201203,129,"AP2.1"
201203,35,"AP2.2"
201203,90,"AP3.1"
201203,89,"AP3.2"
201203,399,"AP3.3"
201203,127,"AP4"
201203,229,"AP5.1"
201203,104,"AP5.2"
201203,33,"AP5.3"
201204,52,"AP1"
201204,161,"AP2.1"
201204,39,"AP2.2"
201204,88,"AP3.1"
201204,97,"AP3.2"
201204,396,"AP3.3"
201204,138,"AP4"
201204,295,"AP5.1"
201204,157,"AP5.2"
201204,36,"AP5.3"
201205,72,"AP1"
201205,130,"AP2.1"
201205,54,"AP2.2"
201205,127,"AP3.1"
201205,127,"AP3.2"
201205,445,"AP3.3"
201205,121,"AP4"
201205,360,"AP5.1"
201205,211,"AP5.2"
201205,38,"AP5.3"
201206,73,"AP1"
201206,136,"AP2.1"
201206,55,"AP2.2"
201206,137,"AP3.1"
201206,217,"AP3.2"
201206,554,"AP3.3"
201206,144,"AP4"
201206,435,"AP5.1"
201206,238,"AP5.2"
201206,36,"AP5.3"
201207,56,"AP1"
201207,142,"AP2.1"
201207,64,"AP2.2"
201207,147,"AP3.1"
201207,212,"AP3.2"
201207,833,"AP3.3"
