,UF,Município,"Cód IBGE","Cód Região de Saúde","Nome da Região de Saúde"
3741,RN,Itaú,240490,24006,"6ª Região de Saúde - Pau dos Ferros"
3742,RN,Jaçanã,240500,24005,"5ª Região de Saúde - Santa Cruz"
3743,RN,Jandaíra,240510,24003,"3ª Região de Saúde - João Câmara"
3744,RN,Janduís,240520,24002,"2ª Região de Saúde - Mossoró"
3745,RN,Japi,240540,24005,"5ª Região de Saúde - Santa Cruz"
3746,RN,"Jardim de Angicos",240550,24003,"3ª Região de Saúde - João Câmara"
3747,RN,"Jardim de Piranhas",240560,24004,"4ª Região de Saúde - Caicó"
3748,RN,"Jardim do Seridó",240570,24004,"4ª Região de Saúde - Caicó"
3749,RN,"João Câmara",240580,24003,"3ª Região de Saúde - João Câmara"
3750,RN,"João Dias",240590,24006,"6ª Região de Saúde - Pau dos Ferros"
3751,RN,"José da Penha",240600,24006,"6ª Região de Saúde - Pau dos Ferros"
3752,RN,Jucurutu,240610,24004,"4ª Região de Saúde - Caicó"
3753,RN,Jundiá,240615,24001,"1ª Região de Saúde - São José de Mipibu"
3754,RN,"Lagoa d'Anta",240620,24001,"1ª Região de Saúde - São José de Mipibu"
3755,RN,"Lagoa de Pedras",240630,24001,"1ª Região de Saúde - São José de Mipibu"
3756,RN,"Lagoa de Velhos",240640,24005,"5ª Região de Saúde - Santa Cruz"
3757,RN,"Lagoa Nova",240650,24004,"4ª Região de Saúde - Caicó"
3758,RN,"Lagoa Salgada",240660,24001,"1ª Região de Saúde - São José de Mipibu"
3759,RN,Lajes,240670,24003,"3ª Região de Saúde - João Câmara"
3760,RN,"Lajes Pintadas",240680,24005,"5ª Região de Saúde - Santa Cruz"
3761,RN,Lucrécia,240690,24006,"6ª Região de Saúde - Pau dos Ferros"
3762,RN,"Luís Gomes",240700,24006,"6ª Região de Saúde - Pau dos Ferros"
3763,RN,Macaíba,240710,24007,"7ª Região de Saúde - Metropolitana"
3764,RN,Macau,240720,24003,"3ª Região de Saúde - João Câmara"
3765,RN,"Major Sales",240725,24006,"6ª Região de Saúde - Pau dos Ferros"
3766,RN,"Marcelino Vieira",240730,24006,"6ª Região de Saúde - Pau dos Ferros"
3767,RN,Martins,240740,24006,"6ª Região de Saúde - Pau dos Ferros"
3768,RN,Maxaranguape,240750,24003,"3ª Região de Saúde - João Câmara"
3769,RN,"Messias Targino",240760,24002,"2ª Região de Saúde - Mossoró"
3770,RN,Montanhas,240770,24001,"1ª Região de Saúde - São José de Mipibu"
3771,RN,"Monte Alegre",240780,24001,"1ª Região de Saúde - São José de Mipibu"
3772,RN,"Monte das Gameleiras",240790,24001,"1ª Região de Saúde - São José de Mipibu"
3773,RN,Mossoró,240800,24002,"2ª Região de Saúde - Mossoró"
3774,RN,Natal,240810,24007,"7ª Região de Saúde - Metropolitana"
3775,RN,"Nísia Floresta",240820,24001,"1ª Região de Saúde - São José de Mipibu"
3776,RN,"Nova Cruz",240830,24001,"1ª Região de Saúde - São José de Mipibu"
3777,RN,"Olho-d'Água do Borges",240840,24006,"6ª Região de Saúde - Pau dos Ferros"
3778,RN,"Ouro Branco",240850,24004,"4ª Região de Saúde - Caicó"
3779,RN,Paraná,240860,24006,"6ª Região de Saúde - Pau dos Ferros"
3780,RN,Paraú,240870,24008,"8ª Região de Saúde - Açu"
3781,RN,Parazinho,240880,24003,"3ª Região de Saúde - João Câmara"
3782,RN,Parelhas,240890,24004,"4ª Região de Saúde - Caicó"
3783,RN,Parnamirim,240325,24007,"7ª Região de Saúde - Metropolitana"
3784,RN,"Passa e Fica",240910,24001,"1ª Região de Saúde - São José de Mipibu"
3785,RN,Passagem,240920,24001,"1ª Região de Saúde - São José de Mipibu"
3786,RN,Patu,240930,24006,"6ª Região de Saúde - Pau dos Ferros"
3787,RN,"Pau dos Ferros",240940,24006,"6ª Região de Saúde - Pau dos Ferros"
3788,RN,"Pedra Grande",240950,24003,"3ª Região de Saúde - João Câmara"
3789,RN,"Pedra Preta",240960,24003,"3ª Região de Saúde - João Câmara"
3790,RN,"Pedro Avelino",240970,24003,"3ª Região de Saúde - João Câmara"
3791,RN,"Pedro Velho",240980,24001,"1ª Região de Saúde - São José de Mipibu"
3792,RN,Pendências,240990,24008,"8ª Região de Saúde - Açu"
3793,RN,Pilões,241000,24006,"6ª Região de Saúde - Pau dos Ferros"
3794,RN,"Poço Branco",241010,24003,"3ª Região de Saúde - João Câmara"
3795,RN,Portalegre,241020,24006,"6ª Região de Saúde - Pau dos Ferros"
3796,RN,"Porto do Mangue",241025,24008,"8ª Região de Saúde - Açu"
3797,RN,Pureza,241040,24003,"3ª Região de Saúde - João Câmara"
3798,RN,"Rafael Fernandes",241050,24006,"6ª Região de Saúde - Pau dos Ferros"
3799,RN,"Rafael Godeiro",241060,24006,"6ª Região de Saúde - Pau dos Ferros"
3800,RN,"Riacho da Cruz",241070,24006,"6ª Região de Saúde - Pau dos Ferros"
3801,RN,"Riacho de Santana",241080,24006,"6ª Região de Saúde - Pau dos Ferros"
3802,RN,Riachuelo,241090,24003,"3ª Região de Saúde - João Câmara"
3803,RN,"Rio do Fogo",240895,24003,"3ª Região de Saúde - João Câmara"
3804,RN,"Rodolfo Fernandes",241100,24006,"6ª Região de Saúde - Pau dos Ferros"
3805,RN,"Ruy Barbosa",241110,24005,"5ª Região de Saúde - Santa Cruz"
3806,RN,"Santa Cruz",241120,24005,"5ª Região de Saúde - Santa Cruz"
3807,RN,"Santa Maria",240933,24005,"5ª Região de Saúde - Santa Cruz"
3808,RN,"Santana do Matos",241140,24004,"4ª Região de Saúde - Caicó"
3809,RN,"Santana do Seridó",241142,24004,"4ª Região de Saúde - Caicó"
3810,RN,"Santo Antônio",241150,24001,"1ª Região de Saúde - São José de Mipibu"
3811,RN,"São Bento do Norte",241160,24003,"3ª Região de Saúde - João Câmara"
3812,RN,"São Bento do Trairí",241170,24005,"5ª Região de Saúde - Santa Cruz"
3813,RN,"São Fernando",241180,24004,"4ª Região de Saúde - Caicó"
3814,RN,"São Francisco do Oeste",241190,24006,"6ª Região de Saúde - Pau dos Ferros"
3815,RN,"São Gonçalo do Amarante",241200,24007,"7ª Região de Saúde - Metropolitana"
3816,RN,"São João do Sabugi",241210,24004,"4ª Região de Saúde - Caicó"
3817,RN,"São José de Mipibu",241220,24001,"1ª Região de Saúde - São José de Mipibu"
3818,RN,"São José do Campestre",241230,24005,"5ª Região de Saúde - Santa Cruz"
3819,RN,"São José do Seridó",241240,24004,"4ª Região de Saúde - Caicó"
3820,RN,"São Miguel",241250,24006,"6ª Região de Saúde - Pau dos Ferros"
3821,RN,"São Miguel do Gostoso",241255,24003,"3ª Região de Saúde - João Câmara"
