"julian","SE","data","dia","casos","twits","tmin","tmed","tmax","t18","t24","t28","t32","mmchuva","diaschuva","umin","umed","casosq","Rt"
912,131,201227,"1Jul2012",900,148,20.3116071428571,24.7506921801136,33.66375,6.90190972222222,3.23871527777778,1.68576388888889,0.502604166666667,11.95,0.129340277777778,43.4269642857143,69.5940784938031,2119,0.728178694158076
919,132,201228,"8Jul2012",599,147,18.2126785714286,21.5000814906966,31.35875,6.24479166666667,1.17881944444444,0.243055555555556,0.0199652777777778,24.7,0.105902777777778,54.3975,74.4685906224383,1499,0.707409155261916
926,133,201229,"15Jul2012",445,94,17.6680357142857,21.0936769232948,33.44125,5.80729166666667,1.29253472222222,0.435763888888889,0.125,10.125,0.165798611111111,57.96125,79.0806895677955,1044,0.696464309539693
933,134,201230,"22Jul2012",315,66,NA,25.0596284598091,34.95,6.76822916666667,3.57725694444444,1.48350694444444,0.480902777777778,1.7,0.00434027777777778,Inf,71.2675477723436,760,0.727969348659004
940,135,201231,"29Jul2012",465,90,20.7882142857143,24.5991233271594,34.14625,6.94444444444444,3.33420138888889,1.15451388888889,0.245659722222222,14.35,0.0746527777777778,47.2889285714286,72.9062250544083,780,1.02631578947368
947,136,201232,"5Aug2012",399,84,18.3925,23.2425939478232,32.42625,6.30815972222222,2.63454861111111,0.986111111111111,0.111111111111111,2.375,0.00520833333333333,41.0066071428571,68.5483457987686,864,1.10769230769231
954,137,201233,"12Aug2012",420,63,20.0925,24.143897088548,33.52,6.92013888888889,3.10850694444444,1.05121527777778,0.137152777777778,0.25,0.00607638888888889,46.59,71.0813264312802,819,0.947916666666667
961,138,201234,"19Aug2012",340,56,19.2510714285714,24.1669946465849,33.52,6.875,3.12586805555556,1.41059027777778,0.232638888888889,1.45,0.00173611111111111,38.6708928571429,66.323806493369,760,0.927960927960928
968,139,201235,"26Aug2012",231,63,18.4907142857143,22.0582725636554,31.01375,6.26475694444444,1.68229166666667,0.434027777777778,0.0251736111111111,5.4625,0.0520833333333333,51.9594642857143,75.2071214300179,571,0.751315789473684
975,140,201236,"2Sep2012",165,53,19.9108928571429,24.597727980445,40.09625,6.67361111111111,3.10763888888889,1.50694444444444,0.639756944444444,6.95,0.0425347222222222,42.0189285714286,68.1026238128558,396,0.693520140105079
982,141,201237,"9Sep2012",192,84,21.5955357142857,25.3208896522118,37.145,6.90538194444444,3.79947916666667,1.46875,0.489583333333333,2.575,0.03125,51.4039285714286,73.9024987574139,357,0.901515151515151
989,142,201238,"16Sep2012",181,69,22.9535714285714,27.004297453376,43.56125,6.84635416666667,4.38715277777778,2.10677083333333,1.17795138888889,25.9375,0.188368055555556,40.3444642857143,65.3807011498985,373,1.04481792717087
996,143,201239,"23Sep2012",141,49,17.3783928571429,21.8770929901888,36.5275,5.640625,1.8984375,0.716145833333333,0.258680555555556,57.0375,0.442708333333333,42.4455357142857,66.5033845971662,322,0.863270777479893
1003,144,201240,"30Sep2012",154,52,21.035,26.750592719431,36.84625,6.85329861111111,4.53038194444444,2.609375,1.24652777777778,0.275,0.00260416666666667,35.0725,63.2152614873866,295,0.916149068322981
1010,145,201241,"7Oct2012",137,48,21.7273214285714,25.7143874412786,39.77875,6.79079861111111,3.61458333333333,1.80208333333333,0.969618055555556,28.025,0.394097222222222,45.79375,68.7652325720522,291,0.986440677966102
1017,146,201242,"14Oct2012",169,63,21.3069642857143,26.1804022982104,39.6475,6.85243055555556,4.32986111111111,2.04774305555556,0.899305555555556,18.95,0.0885416666666667,41.0510714285714,66.9344094877415,306,1.05154639175258
1024,147,201243,"21Oct2012",165,87,NA,27.7602302921401,38.1,5.97829861111111,5.13194444444444,2.54427083333333,1.04079861111111,4.775,0.0720486111111111,Inf,73.1138506244765,334,1.09150326797386
1031,148,201244,"28Oct2012",155,60,NA,27.1404754372612,38.375,6.53732638888889,5.11284722222222,2.39583333333333,0.953993055555556,4.525,0.0529513888888889,Inf,74.2119161912077,320,0.958083832335329
1038,149,201245,"4Nov2012",159,53,NA,27.127360994883,37.45,6.32986111111111,5.24826388888889,2.26909722222222,0.707465277777778,6.175,0.160590277777778,Inf,75.1538932076709,314,0.98125
1045,150,201246,"11Nov2012",129,70,20.5,23.2344556062571,32.6625,6.45572916666667,2.26302083333333,0.684895833333333,0.133680555555556,29.175,0.46875,Inf,82.8954873472088,288,0.917197452229299
1052,151,201247,"18Nov2012",146,64,22.4892857142857,26.2809304136213,39.2875,6.84201388888889,4.546875,1.89756944444444,0.669270833333333,9.35,0.1640625,52.2303571428571,74.9674786371704,275,0.954861111111111
1059,152,201248,"25Nov2012",191,74,22.7642857142857,26.2496280311829,37.0375,6.97482638888889,4.73177083333333,1.984375,0.7109375,24.15,0.305555555555556,57.1303571428571,78.5509332179729,337,1.22545454545455
1066,153,201249,"2Dec2012",185,86,26.2607142857143,30.7498266224493,41.6125,6.86631944444444,6.68836805555556,4.62934027777778,2.34635416666667,0.15,0.00434027777777778,44.9785714285714,66.7331804635565,376,1.11572700296736
1073,154,201250,"9Dec2012",197,86,25.1714285714286,29.4409024335947,42.2875,6.77083333333333,6.47222222222222,3.79166666666667,1.68836805555556,40.3,0.300347222222222,48.2357142857143,74.8705015712096,382,1.01595744680851
1080,155,201251,"16Dec2012",169,71,26.3928571428571,30.7288688593288,40.45,6.87239583333333,6.81163194444444,4.81423611111111,2.35590277777778,8.1,0.0286458333333333,45.3464285714286,69.829343252184,366,0.958115183246073
1087,156,201252,"23Dec2012",167,72,26.8928571428571,32.1183840518659,44.75,6.75347222222222,6.74131944444444,5.17447916666667,3.05902777777778,11.7,0.0598958333333333,37.6660714285714,63.7654687537295,336,0.918032786885246
1094,157,201301,"30Dec2012",388,96,25.2446428571429,29.5007854032788,41.95,6.99131944444444,6.48784722222222,3.66059027777778,1.9375,70.55,0.427951388888889,Inf,73.6266312767235,555,1.65178571428571
1101,158,201302,"6Jan2013",699,135,24.3660714285714,28.0955748941242,41.6625,6.92447916666667,5.46440972222222,3.12760416666667,1.35243055555556,46.525,0.568576388888889,Inf,74.7437263422292,1087,1.95855855855856
1108,159,201303,"13Jan2013",719,212,NA,26.7097230490571,37.175,6.48958333333333,4.63020833333333,2.23003472222222,0.728298611111111,117.875,0.633680555555556,Inf,81.0495939875532,1418,1.30450781968721
1115,160,201304,"20Jan2013",897,195,NA,27.4085163990003,40.425,6.61024305555556,5.21527777777778,2.32465277777778,1.00954861111111,88.75,0.521701388888889,Inf,76.5178356675975,1616,1.13963328631876
